prob,gene
205559_s_at,PCSK5
238460_at,FAM83A
203638_s_at,FGFR2
201428_at,CLDN4_///_LOC100996451
230493_at,SHISA2
232760_at,TEX15
208894_at,HLA-DRA
201162_at,IGFBP7
229372_at,GOLT1A
243366_s_at,---
204845_s_at,ENPEP
205535_s_at,PCDH7
221942_s_at,GUCY1A3
230563_at,RASGEF1A
222717_at,SDPR
226103_at,NEXN
232618_at,TXLNG2P
210445_at,FABP6
205498_at,GHR
228640_at,PCDH7
229331_at,SPATA18
1554195_a_at,C5orf46
205422_s_at,ITGBL1
202833_s_at,SERPINA1
227361_at,HS3ST3B1
230836_at,ST8SIA4
221024_s_at,SLC2A10
206067_s_at,WT1
204879_at,PDPN
230560_at,STXBP6
209291_at,ID4
235651_at,TTC22
205309_at,SMPDL3B
225996_at,LONRF2
211844_s_at,NRP2
239153_at,HOTAIR
204469_at,PTPRZ1
210467_x_at,LOC101060230_///_MAGEA12
202997_s_at,LOXL2
232504_at,LOC285628_///_MIR146A
215733_x_at,CTAG2
205978_at,KL
232056_at,SCEL
219263_at,RNF128
244741_s_at,ZNF667-AS1
203548_s_at,LPL
219564_at,KCNJ16
205884_at,ITGA4
201130_s_at,CDH1
209631_s_at,GPR37_///_SEL1L2
228038_at,SOX2
203886_s_at,FBLN2
224463_s_at,C11orf70
236972_at,TRIM63
206157_at,PTX3
234994_at,TMEM200A
228750_at,---
219768_at,VTCN1
225660_at,SEMA6A
222020_s_at,LOC100653217_///_NTM
211564_s_at,PDLIM4
206336_at,CXCL6
211372_s_at,IL1R2
201117_s_at,CPE
221690_s_at,NLRP2
219121_s_at,ESRP1
229222_at,ACSS3
219042_at,LZTS1
203424_s_at,IGFBP5
209955_s_at,FAP
33767_at,NEFH
222162_s_at,ADAMTS1
214954_at,SUSD5
203485_at,RTN1
204803_s_at,RRAD
226612_at,UBE2QL1
241365_at,SATB1
206343_s_at,NRG1
228885_at,MAMDC2
219836_at,ZBED2
213415_at,CLIC2
202202_s_at,LAMA4
232176_at,SLITRK6
228827_at,RUNX1T1
219936_s_at,GPR87
221558_s_at,LEF1
221801_x_at,NEFL
235728_at,ZFP3
223629_at,PCDHB5
201667_at,GJA1
219686_at,STK32B
203029_s_at,PTPRN2
222281_s_at,C1orf186_///_LOC100505650
202411_at,IFI27
232054_at,PCDH20
241789_at,RBMS3
223618_at,FMN2
230876_at,ZNF883
232024_at,GIMAP2
235942_at,FAM224A_///_FAM224B
229947_at,PI15
